Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Sector,Daily_Return,Log_Return,Intraday_Volatility,Volatility_30d,Volatility_90d,Avg_Return_30d,Drawdown_30d,Price_Momentum_30d,Days_from_Event,Event_Name,Event_Date,Event_Type,Event_Period
2023-07-12 04:00:00,110.75473810720304,111.026557076931,109.8548964612975,110.37042999267578,2831900,0.0,0.0,DLR,Real Estate,0.011424118439443243,0.011359355967756444,0.010615711252653912,0.18253938628280478,0.37717167650070366,1.5853252960126145,0.0,0.20471729750422818,-6,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
2023-07-13 04:00:00,110.96094304478233,111.1202943215566,109.35811219986674,110.8765869140625,1935900,0.0,0.0,DLR,Real Estate,0.004585983051984988,0.004575499471171894,0.015893185123525506,0.17957581812153003,0.3746049219858953,1.478594476769836,0.0,0.1896702926979612,-5,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
2023-07-14 04:00:00,110.14547061217692,111.22339978390656,109.77053779358636,110.8672103881836,2027400,0.0,0.0,DLR,Real Estate,-8.456723046657011e-05,-8.457080647641476e-05,0.013104523738202128,0.17626998744657743,0.37436382491725095,1.3225769062637005,-8.456723046655238e-05,0.1679750496978185,-4,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
2023-07-17 04:00:00,110.60475947463864,111.7014320683841,109.76116242127723,110.80159759521484,1986700,0.0,0.0,DLR,Real Estate,-0.0005918142319899511,-0.0005919894231563711,0.017511206419560266,0.16906152843916875,0.372121219633269,1.127403288308766,-0.0006763314143659426,0.14143808280357506,-1,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
2023-07-18 04:00:00,110.98907491881168,111.17653776473244,108.37392745609684,109.9580078125,3427400,0.0,0.0,DLR,Real Estate,-0.0076135164205545225,-0.007642647189281239,0.025488005506744068,0.17263691165197825,0.36994109080266085,1.0217633851149677,-0.008284698574591463,0.12715404009555686,0,European Heat Wave,2023-07-18,Heat Wave,Event Day
2023-07-19 04:00:00,110.6422598742407,114.43843610717106,110.6422598742407,113.57609558105467,2569500,0.0,0.0,DLR,Real Estate,0.03290426809772895,0.03237451217190755,0.033424077606376126,0.1896965019364189,0.37271071399182965,1.3364503044555132,0.0,0.1695736740909033,1,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-20 04:00:00,112.76061001536284,112.948072835919,110.39853842936496,111.31712341308594,3009300,0.0,0.0,DLR,Real Estate,-0.019889503653139795,-0.02008996229913075,0.02290334432280464,0.203273289488861,0.3730702193196616,1.1277080091253655,-0.019889503653139746,0.14065291790763612,2,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-21 04:00:00,111.65457838170666,113.49174146397164,111.27027024728552,112.62002563476562,2933200,0.0,0.0,DLR,Real Estate,0.011704418706947273,0.011636451826127258,0.019725365929950094,0.19438632974821426,0.3697591556182428,1.3631789300393675,-0.008417880024822123,0.1731587381352575,3,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-24 04:00:00,113.20117220899434,115.48825628813309,112.71376448210808,115.40390014648438,2668500,0.0,0.0,DLR,Real Estate,0.024719178458962876,0.024418602817964246,0.024041577472713627,0.20214575988846437,0.3715171979312549,1.4986721271545664,0.0,0.19192080768283692,6,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-25 04:00:00,114.6540331391983,114.86962186200556,113.03245152775573,113.06057739257812,2114400,0.0,0.0,DLR,Real Estate,-0.020305403464976668,-0.02051439207491898,0.01624943350386989,0.2148058731825257,0.3732650407263032,1.3490044322127603,-0.02030540346497671,0.17063069409694398,7,European Heat Wave,2023-07-18,Heat Wave,Post-Event
